date,holiday,type,importance
2023-01-14,Makar Sankranti,Festival,0.8
2023-01-15,Makar Sankranti Travel Window,Festival,0.75
2023-01-26,Republic Day,National,0.6
2023-03-07,Pre-Holi Travel,Festival,0.7
2023-03-08,Holi,Festival,0.85
2023-03-09,Post-Holi Return,Festival,0.65
2023-04-22,Eid al-Fitr,Religious,0.75
2023-05-01,Summer Vacation Start,Seasonal,0.7
2023-05-15,Peak Summer Travel,Seasonal,0.8
2023-06-01,Summer Travel Decline,Seasonal,0.6
2023-08-15,Independence Day,National,0.7
2023-08-29,Onam,Religious,0.55
2023-09-19,Ganesh Chaturthi,Religious,0.6
2023-10-21,Pre-Dussehra Travel,Festival,0.7
2023-10-24,Dussehra / Vijayadashami,Festival,0.75
2023-11-10,Pre-Diwali Travel,Festival,0.9
2023-11-11,Pre-Diwali Travel,Festival,0.95
2023-11-12,Diwali,Festival,1.0
2023-11-13,Post-Diwali Return,Festival,0.9
2023-12-24,Year-End Holiday Travel,Seasonal,0.75
2023-12-25,Christmas,Religious,0.7
2023-12-31,New Year Travel,Seasonal,0.8
2024-01-14,Makar Sankranti,Festival,0.8
2024-01-26,Republic Day,National,0.6
2024-03-24,Pre-Holi Travel,Festival,0.7
2024-03-25,Holi,Festival,0.85
2024-04-10,Eid al-Fitr,Religious,0.75
2024-05-01,Summer Vacation Start,Seasonal,0.7
2024-05-15,Peak Summer Travel,Seasonal,0.8
2024-06-01,Summer Travel Decline,Seasonal,0.6
2024-08-15,Independence Day,National,0.7
2024-09-07,Ganesh Chaturthi,Religious,0.6
2024-10-12,Navratri Travel Weekend,Festival,0.65
2024-10-13,Dussehra / Vijayadashami,Festival,0.75
2024-11-10,Pre-Diwali Travel,Festival,0.9
2024-11-11,Pre-Diwali Travel,Festival,0.95
2024-11-12,Diwali,Festival,1.0
2024-11-13,Post-Diwali Return,Festival,0.9
2024-12-24,Year-End Holiday Travel,Seasonal,0.75
2024-12-25,Christmas,Religious,0.7
2024-12-31,New Year Travel,Seasonal,0.8
2025-01-14,Makar Sankranti,Festival,0.8
2025-01-26,Republic Day,National,0.6
2025-03-13,Holi,Festival,0.85
2025-03-14,Post-Holi Return,Festival,0.65
2025-03-30,Eid al-Fitr,Religious,0.75
2025-05-01,Summer Vacation Start,Seasonal,0.7
2025-05-15,Peak Summer Travel,Seasonal,0.8
2025-06-01,Summer Travel Decline,Seasonal,0.6
2025-08-15,Independence Day,National,0.7
2025-10-02,Gandhi Jayanti,National,0.55
2025-10-20,Pre-Diwali Travel,Festival,0.9
2025-10-21,Pre-Diwali Travel,Festival,0.95
2025-10-22,Diwali,Festival,1.0
2025-10-23,Post-Diwali Return,Festival,0.9
2025-12-24,Year-End Holiday Travel,Seasonal,0.75
2025-12-25,Christmas,Religious,0.7
2025-12-31,New Year Travel,Seasonal,0.8
